Router Name,Country Code,Bandwidth (KB/s),Uptime (Days),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit
UNKLE,DE,5,2,93.132.77.237,ulmg-5d844ded.pool.mediaWays.net,443,80,0,0,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
unknown,RU,6,0,109.225.14.204,204.net-94.242.14.kaluga.ru,9001,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unknown1,RU,2,0,85.141.115.10,ppp85-141-115-10.pppoe.mtu-net.ru,443,9030,0,1,1,0,1,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Unmanned,US,146,0,68.41.160.117,c-68-41-160-117.hsd1.mi.comcast.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin i386,0,0
Unnamed,GB,0,0,92.236.121.254,cpc2-linl6-0-0-cust509.18-2.cable.virginmedia.com,9001,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.1.30 on Linux x86_64,0,0
Unnamed,FR,7,0,84.101.216.24,24.216.101.84.rev.sfr.net,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.1.30 on Very recent version of Windows [major=6-minor=1] Service Pack 1 [workstation] {personal} {terminal services- single user},0,0
Unnamed,UA,3,0,195.43.146.59,clients-195-43-146-59.qt.net.ua,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,GB,8,1,77.100.245.192,cpc18-nmal16-2-0-cust447.19-2.cable.virginmedia.com,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows Vista Service Pack 2 [workstation],0,0
Unnamed,PL,74,8,178.216.201.229,178.216.201.229,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed,US,11,3,70.94.37.119,CPE-70-94-37-119.kc.res.rr.com,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,IR,0,0,2.146.169.157,2.146.169.157,443,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.1.30 on Very recent version of Windows [major=6-minor=1]  [workstation] {terminal services- single user},0,0
Unnamed,DK,795,6,87.116.42.55,87.116.42.55,443,80,0,0,1,1,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Linux x86_64,0,0
Unnamed,SE,338,2,89.160.41.250,c-89-160-41-250.cust.bredband2.com,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Darwin i386,0,0
Unnamed,FR,0,0,88.189.210.8,dau94-10-88-189-210-8.fbx.proxad.net,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.29-beta (git-2ea53fc0478aaf91) on Windows 7  [workstation],0,0
Unnamed,SE,209,43,194.14.172.60,194-14-172-60.cust.pirateisp.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.2.34 (git-c55c166e73d500af) on Linux i686,0,0
Unnamed,FR,18,3,88.182.161.122,freebox.lhuard.fr.eu.org,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,PL,13,0,149.156.160.239,antares.cusi.uj.edu.pl,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,US,6,2,108.76.90.28,108-76-90-28.lightspeed.fyvlar.sbcglobal.net,443,None,0,1,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,RU,0,0,80.240.209.133,80.240.209.133,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux i686,0,0
Unnamed,US,34,1,64.37.55.197,orga.scalefeather.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.2.35 (git-4f42b0a93422f70e) on Linux x86_64,0,0
Unnamed,DE,3,0,91.49.198.11,p5B31C60B.dip0.t-ipconnect.de,22,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,RU,607,2,95.71.142.126,95.71.142.126,6112,27010,0,1,1,0,0,0,1,1,1,Tor 0.2.2.34 (git-c4eae752f0d157ce) on Linux x86_64,0,0
Unnamed,RU,13,0,78.139.127.115,pptp-3-127-115.kamensktel.ru,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 3 [workstation],0,0
Unnamed,US,52,3,208.75.85.166,tor-proxy.vitalvector.com,443,None,0,0,1,1,0,1,1,1,0,Tor 0.2.2.34 (git-c55c166e73d500af) on Linux x86_64,0,0
Unnamed,US,1,27,107.22.24.48,ec2-107-22-24-48.compute-1.amazonaws.com,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.2.34 (git-c55c166e73d500af) on Linux i686,0,0
Unnamed,HR,2,1,109.60.121.241,cpe-109-60-121-241.zg3.cable.xnet.hr,441,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
Unnamed,FR,5,1,88.164.251.147,bro29-2-88-164-251-147.fbx.proxad.net,9001,None,0,0,1,0,0,0,1,1,0,Tor 0.2.2.35 (git-73ff13ab3cc9570d) on Linux x86_64,0,0
Unnamed,SG,0,37,175.41.142.121,ec2-175-41-142-121.ap-southeast-1.compute.amazonaws.com,9001,None,0,0,0,0,0,1,1,1,0,Tor 0.2.2.34 (git-c55c166e73d500af) on Linux i686,0,0
Unnamed,US,28,3,70.176.41.138,ip70-176-41-138.ph.ph.cox.net,9029,9030,0,1,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows XP Service Pack 2 [workstation],0,0
Unnamed,NL,2,0,83.86.232.78,5356E84E.cm-6-7d.dynamic.ziggo.nl,443,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.2.35 (git-b04388f9e7546a9f) on Windows 7 Service Pack 1 [workstation],0,0
